Personaje,Frase
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
