Personaje,Frase
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Homer Simpson,Marriage is like a coffin and each kid is another nail.
Moe Szyslak,"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff."
Homer Simpson,"For once maybe someone will call me ""sir"" without adding, ""You're making a scene."""
Otto,"Oh, wow, windows. I don't think I could afford this place."
Chief Wiggum,When I look at people I don't see colors; I just see crackpot religions.
Groundskeeper Willie,"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!"
Homer Simpson,"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort."
Milhouse Van Houten,"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?"
Otto,"Oh, wow, windows. I don't think I could afford this place."
Ralph Wiggum,That's where I saw the leprechaun...He told me to burn things.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Mayor Quimby,Can't we have one meeting that doesn't end with us digging up a corpse?
Homer Simpson,"Gah, stupid sexy Flanders!"
Moe Szyslak,Yeah. Call this an unfair generalization if you must.. but old people are no good at everything
Mayor Quimby,Can't we have one meeting that doesn't end with us digging up a corpse?
Homer Simpson,I can't even say the word 'titmouse' without gigggling like a schoolgirl.
Chief Wiggum,When I look at people I don't see colors; I just see crackpot religions.
Troy McClure,Ahh! Sweet liquor eases the pain.
Apu Nahasapeemapetilon,By chilling my loins I increase the chances of impregnating my wife.
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Dr. Nick,"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon."
Homer Simpson,"And this is the snack holder where I can put my beverage or, if you will, cupcake."
Rainier Wolfcastle,My eyes! The goggles do nothing!
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
