Palabra,Cuenta
Me,55
Fail,4
English,4
That's,22
Unpossible,4
Ahh,10
Sweet,10
Liquor,10
Eases,10
The,187
Pain,10
Last,11
Night's,11
'itchy,3
And,75
Scratchy',3
Was,42
Without,25
A,124
Doubt,11
Worst,11
Episode,11
Ever,20
Rest,11
Assured,11
That,33
I,212
On,41
Internet,20
Within,11
Minutes,11
Registering,11
My,104
Disgust,11
Throughout,11
World,11
Doughnuts,4
Told,12
You,103
Don't,50
Like,37
Ethnic,4
Food,4
In,38
Theory,14
Communism,7
Works,7
They,21
Taste,14
Likeburning,7
Remember,9
Time,9
He,9
Ate,9
Goldfish,18
Lied,9
Said,9
Never,9
Had,15
Then,20
Why,25
Did,18
Have,34
Bowl,18
Bart,9
Think,25
Women,10
Seamen,10
Mix,10
Hello,15
Simpson,15
I'm,66
Riding,15
Bus,15
Today,15
Becuase,22
Mother,15
Hid,15
Car,15
Keys,15
To,105
Punish,15
For,28
Talking,15
Woman,15
Phone,15
She,15
Right,15
Do,21
It,48
Want,11
Sound,7
Killjoy,7
But,18
This,29
Is,36
Not,18
Anyone,7
Else,7
Should,7
Be,21
Allowed,7
Enjoy,7
Hi,14
Super,14
Nintendo,14
Chalmers,14
Used,5
With,38
Changed,5
What,12
Now,28
Isn't,5
What's,5
Seems,5
Scary,5
Wierd,5
It'll,5
Happen,5
Itchy,8
&,8
Scratchy,8
Eyes,16
Goggles,6
Nothing,14
Oh,27
So,19
Computers,9
Can't,19
We,24
One,19
Meeting,7
Doesn't,7
End,7
Us,15
Digging,7
Up,16
Corpse,7
Hey,7
Chief,7
Here,7
Bake,7
Him,7
Away,7
Toys,7
Yeah,11
Believe,5
Children,5
Are,32
Future,5
Unless,5
Stop,5
Them,5
By,6
Chilling,6
Loins,6
Increase,6
Chances,6
Of,35
Impregnating,6
Wife,6
Wow,8
Windows,8
Could,15
Afford,8
Place,8
Live,10
Single,10
Room,10
Above,10
Bowling,20
Alleyand,10
Below,10
Another,15
Alley,10
Eat,7
Shorts,7
Marriage,5
Coffin,5
Each,5
Kid,5
Nail,5
Gah,6
Stupid,6
Sexy,6
Flanders,6
Ah,5
Creative,5
Instead,10
Making,12
Sandwhiches,5
Bread,5
Use,28
Pop-tarts,5
Chewing,5
Gum,5
Chew,5
Bacon,5
Even,29
Say,15
Word,7
'titmouse',7
Gigggling,7
Schoolgirl,7
Snack,4
Holder,4
Where,15
Can,22
Put,4
Beverage,4
Or,4
If,8
Will,20
Cupcake,4
Hope,5
Didn't,5
Brain,14
Damage,5
Facts,14
Meaningless,7
Prove,7
Anything,7
Remotely,7
True,7
Once,7
Maybe,13
Someone,12
Call,11
Sir,7
Adding,7
You're,11
Scene,7
When,19
Look,5
At,9
People,9
See,10
Colors;,5
Just,5
Crackpot,5
Religions,5
Boy,3
Sleep,3
Viking,3
Sleeping,9
Bath,3
Tub,3
Catch,10
Gonna,26
Pull,10
Out,16
Your,30
Stick,10
'em,10
Down,10
Pants,10
Watch,10
Kick,10
Crap,10
Outta,10
Okay,10
Next,10
Tongue,10
Paint,10
Boat,10
All,16
Bed,6
Eating,6
Building,6
Little,6
Fort,6
These,9
Only,9
Friendsgrown-up,9
Nerds,9
Gore,9
Vidal,9
He's,9
Kissed,9
More,9
Boys,9
Than,14
Thank,9
Come,9
Again,9
An,4
Unfair,4
Generalization,4
Must,4
Old,4
No,10
Good,4
Everything,4
Pleople,7
Avoiding,7
Does,7
Withered,7
Face,7
Remind,7
Grim,7
Specter,7
Death,7
Shut,9
Got,9
Friends,9
Need,9
Anymore,9
Well,10
Better,5
Dirt,15
Most,5
Kinds,5
Mean,5
Fancy,5
Store,5
Bought,5
Stuffs,5
Loaded,5
Nutrients,5
Compete,5
Stuff,5
Saw,8
Leprechaunhe,8
Burn,8
Things,8
Upset,8
We're,8
Mtv,8
Generation,8
Turning,4
Into,4
Criminal,4
Petty,4
Thug,4
Inflammable,2
Means,2
Flammable,2
Country,2
Back,6
Edinburg,6
Coal,6
Miners,6
Strike,6
Wanted,6
Were,6
Hats,6
Wee,6
Light,6
Top,6
Day,6
Mine,6
Collapsed,6
Made,6
Alive,6
Willie,6
Shoplifting,5
Victimless,5
Crime,5
Punching,5
Dark,5
Mom,2
Says,2
Cool,2
