Palabra,Cuenta
I,11
Live,1
In,3
A,4
Single,1
Room,1
Above,1
Bowling,2
Alleyand,1
Below,1
Another,1
Alley,1
Why,3
Are,1
You,4
Pleople,1
Avoiding,1
Me,2
Does,1
My,3
Withered,1
Face,1
Remind,1
Of,2
The,7
Grim,1
Specter,1
Death,1
When,1
Look,1
At,1
People,1
Don't,3
See,2
Colors;,1
Just,1
Crackpot,1
Religions,1
All,1
I'm,2
Gonna,1
Use,1
This,1
Bed,1
For,1
Is,1
Sleeping,1
Eating,1
And,4
Maybe,1
Building,1
Little,1
Fort,1
Doughnuts,1
Told,2
Like,1
Ethnic,1
Food,1
They,2
Taste,1
Likeburning,1
Hey,1
Chief,1
Here,1
Bake,1
Him,1
Away,1
Toys,1
Eyes,1
Goggles,1
Do,1
Nothing,1
Oh,1
So,1
Have,3
Internet,1
On,1
Computers,1
Now,1
Remember,1
Time,1
He,1
Ate,1
Goldfish,2
Lied,1
Said,1
Never,1
Had,1
Then,1
Did,2
Bowl,2
Bart,1
That's,1
Where,1
Saw,1
Leprechaunhe,1
To,1
Burn,1
Things,1
Think,1
Women,1
Seamen,1
Mix,1
Theory,2
Communism,1
Works,1
