Palabra,Cuenta
Hello,2
Simpson,2
I'm,13
Riding,2
The,41
Bus,2
Today,2
Becuase,4
Mother,2
Hid,2
My,27
Car,2
Keys,2
To,20
Punish,2
Me,11
For,5
Talking,2
A,35
Woman,2
On,10
Phone,2
She,2
Was,11
Right,2
Do,4
It,11
Remember,3
Time,3
He,3
Ate,3
Goldfish,6
And,23
You,19
Lied,3
Said,3
I,47
Never,3
Had,6
Then,7
Why,8
Did,6
Have,8
Bowl,6
Bart,3
Yeah,3
Call,3
This,9
An,2
Unfair,2
Generalization,2
If,3
Must,2
But,6
Old,2
People,2
Are,8
No,5
Good,2
At,2
Everything,2
Last,4
Night's,4
Itchy,2
&,2
Scratchy,2
Without,5
Doubt,4
Worst,4
Episode,4
Ever,7
Rest,4
Assured,4
That,8
Internet,5
Within,4
Minutes,4
Registering,4
Disgust,4
Throughout,4
World,4
They,5
Taste,5
Likeburning,3
Oh,6
Boy,2
Sleep,2
That's,6
Where,5
Viking,2
Mom,1
Says,1
Cool,1
All,7
Gonna,4
Use,8
Bed,2
Is,14
Sleeping,2
Eating,2
Maybe,3
Building,2
Little,2
Fort,2
Shut,3
Up,4
Brain,4
Got,3
Friends,3
Now,5
Don't,12
Need,3
Anymore,3
So,2
Computers,1
Marriage,3
Like,9
Coffin,3
Each,3
Kid,3
Another,4
Nail,3
Back,3
In,9
Edinburg,3
We,7
Coal,3
Miners,3
Strike,3
Wanted,3
Were,3
Hats,3
With,12
Wee,3
Light,3
Top,3
One,7
Day,3
Mine,3
Collapsed,3
Made,3
Out,4
Alive,3
Not,6
Even,7
Willie,3
Eyes,3
Goggles,2
Nothing,2
These,3
Only,3
Friendsgrown-up,3
Nerds,3
Gore,3
Vidal,3
He's,3
Kissed,3
More,3
Boys,3
Than,4
Will,5
Snack,1
Holder,1
Can,2
Put,1
Beverage,1
Or,1
Cupcake,1
Saw,2
Leprechaunhe,2
Told,2
Burn,2
Things,2
Think,7
Women,3
Seamen,3
Mix,3
Hey,2
Chief,2
Here,2
Bake,2
Him,2
Away,2
Toys,2
Facts,2
Meaningless,1
Could,3
Prove,1
Anything,1
Remotely,1
True,1
Once,1
Someone,2
Sir,1
Adding,1
You're,3
Making,5
Scene,1
Hope,1
Didn't,1
Damage,1
Shoplifting,1
Victimless,1
Crime,1
Punching,1
Dark,1
Turning,2
Into,2
Criminal,2
When,3
Want,4
Be,9
Petty,2
Thug,2
Used,1
Changed,1
What,4
Isn't,1
What's,1
Seems,1
Scary,1
Wierd,1
It'll,1
Happen,1
Live,1
Single,1
Room,1
Above,1
Bowling,2
Alleyand,1
Below,1
Alley,1
Sound,2
Killjoy,2
Anyone,2
Else,2
Should,2
Allowed,2
Enjoy,2
Pleople,2
Avoiding,2
Does,2
Withered,2
Face,2
Remind,2
Of,14
Grim,2
Specter,2
Death,2
Ah,4
Creative,4
Instead,8
Sandwhiches,4
Bread,4
Pop-tarts,4
Chewing,4
Gum,4
Chew,4
Bacon,4
Hi,1
Super,1
Nintendo,1
Chalmers,1
Inflammable,2
Means,2
Flammable,2
Country,2
Gah,1
Stupid,1
Sexy,1
Flanders,1
Well,2
Better,1
Dirt,3
Most,1
Kinds,1
Mean,1
Fancy,1
Store,1
Bought,1
Stuffs,1
Loaded,1
Nutrients,1
Can't,2
Compete,1
Stuff,1
By,1
Chilling,1
Loins,1
Increase,1
Chances,1
Impregnating,1
Wife,1
Theory,4
Communism,2
Works,2
Eat,3
Shorts,3
'itchy,2
Scratchy',2
Catch,1
Pull,1
Your,3
Stick,1
'em,1
Down,1
Pants,1
Watch,1
Kick,1
Crap,1
Outta,1
Okay,1
Next,1
Tongue,1
Paint,1
Boat,1
Ahh,1
Sweet,1
Liquor,1
Eases,1
Pain,1
Fail,1
English,1
Unpossible,1
Wow,2
Windows,2
Afford,2
Place,2
Thank,1
Come,1
Again,1
Meeting,1
Doesn't,1
End,1
Us,1
Digging,1
Corpse,1
