album,artista,año,precio,genero,stock
AMERICAN IDIOT,GREEN DAY,2004,51.64,Pop,3
BACK TO BLACK,AMY WINEHOUSE,2006,23.99,Pop,6
IS THIS IT,THE STROKES,2001,17.88,Pop,3
KID A,RADIOHEAD,2000,31.37,Electro,2
RANDOM ACCESS MEMORIES,DAFT PUNK,2013,11.99,Electro,7
DUMMY,PORTISHEAD,1994,23.99,Electro,2
TALENTO DE BARRIO,DADDY YANKEE,2008,11.99,Reggaeton,8
THE LAST DON,DON OMAR,2003,30.14,Reggaeton,1
YHLQMDLG,BAD BUNNY,2020,21.86,Reggaeton,1
UNTITLED (IV),LED ZEPPELIN,1971,14.99,Rock,3
APPETITE FOR DESTRUCTION,GUNS N'ROSES,1987,30.11,Rock,5
DARK SIDE OF THE MOON,PINK FLOYD,1973,21.99,Rock,2
HIGHWAY TO HELL,AC/DC,1979,20.5,Metal,3
THE NUMBER OF THE BEAST,IRON MAIDEN,1982,17.99,Metal,6
MASTER OF PUPPETS,METALLICA,1986,36.8,Metal,5
ALTARS OF MADNESS,MORBID ANGEL,1989,26.09,Death Metal,2
DIVUS DE MORTUUS,NECROVORE,1987,36.8,Death Metal,2
MASTER OF PUPPETS,METALLICA,1986,15.0,Death Metal,1
BLACK METAL,VENOM,1982,17.95,Black Metal,8
FILOSOFEM,BURZUM,1996,17.22,Black Metal,5
BATHORY,BATHORY,1984,16.29,Black Metal,2
