city_id,city_name,country_name,name
1,Mayhan,Mongolia,Rhyloo
2,Chirongui,Mayotte,Dabtype
3,Saint Joseph,United States,Talane
4,Vykhino-Zhulebino,Russia,Mita
5,Batken,Kyrgyzstan,Jetpulse
6,Dos Quebradas,Colombia,Flashdog
7,Murcia,Philippines,Tagopia
8,Fubei,China,Jaxnation
9,Bereeda,Somalia,Roombo
10,Biaoxi,China,Zoonder
11,Planá,Czech Republic,Yambee
12,Sriwing,Indonesia,Jazzy
13,Shchigry,Russia,Jayo
14,Měnín,Czech Republic,Jaxworks
15,Donghu,China,Oba
16,Nunleu,Indonesia,Feedbug
17,Maple Creek,Canada,Gigashots
18,Sang-e Māshah,Afghanistan,Viva
19,Kibondo,Tanzania,Npath
20,Santa Cruz das Flores,Portugal,Pixonyx
21,Göteborg,Sweden,Vipe
22,Yermolayevo,Russia,Tazzy
23,Maromme,France,Voolith
24,Sundbyberg,Sweden,Realbridge
25,Zherdevka,Russia,Shufflebeat
26,Rimbo,Sweden,Aimbu
27,Kauit,Philippines,Yoveo
28,Buenavista,Colombia,Skynoodle
29,Ntoroko,Uganda,Kanoodle
30,Aghada,Ireland,Feedspan
31,Daliyuan,China,Rhybox
32,Putou,China,Mita
33,Llama,Peru,Edgeify
34,Juexi,China,Yabox
35,Xiagang,China,Geba
36,Kalidung,Indonesia,Zoonoodle
37,Baleagung,Indonesia,Wikizz
38,Gunung Sugih,Indonesia,Wikizz
39,Tapel,Philippines,Chatterbridge
40,Linhares,Portugal,Flashdog
41,Mambago,Philippines,Kwilith
42,Onsala,Sweden,Yambee
43,Forninho,Portugal,Mymm
44,Butare,Rwanda,Gigashots
45,Calumpang,Philippines,Trunyx
46,Lidingö,Sweden,Babbleblab
47,Lokorae,Indonesia,Yacero
48,Katsina,Nigeria,Trilia
49,Moguqi,China,Aimbu
50,Sens,France,Wordware
51,Caqu,China,Quire
52,Leśnica,Poland,Kamba
53,Konstantynów,Poland,Muxo
54,Loum,Cameroon,Myworks
55,Sainte-Agathe-des-Monts,Canada,Eamia
56,Manta,Ecuador,Camimbo
57,Huacachi,Peru,Fatz
58,Phú Lộc,Vietnam,Dabshots
59,Jinjiang,China,Topicshots
60,Aleksandrovka,Ukraine,Vipe
61,Longxi,China,Gigabox
62,Kabakovo,Russia,Fatz
63,Nangaroro,Indonesia,Gevee
64,Lame,Nigeria,Twiyo
65,Xinchang,China,Jayo
66,Dayr Abū Ḑa‘īf,Palestinian Territory,Voolia
67,Lahoysk,Belarus,Kayveo
68,Stara Błotnica,Poland,Twitterworks
69,Zouérat,Mauritania,Ozu
70,Ikot-Ekpene,Nigeria,Babbleblab
71,Pniewy,Poland,Devshare
72,Harbour Breton,Canada,Vinte
73,Machachi,Ecuador,Ainyx
74,Kallithéa,Greece,Thoughtbeat
75,Mandala,Indonesia,Realbuzz
76,Ganquan,China,Fadeo
77,Melaka,Malaysia,Rhycero
78,Cheonan,South Korea,Aimbu
79,Angered,Sweden,Photojam
80,Solna,Sweden,Jabbersphere
81,Nogueira da Regedoura,Portugal,Digitube
82,Libiąż,Poland,Ailane
83,Xinyang,China,Tagfeed
84,Martanesh,Albania,Flipopia
85,Rengo,Chile,Vinte
86,Loo,Estonia,Kwilith
87,Campinho,Portugal,Rhyloo
88,Lleida,Spain,Pixoboo
89,Shuinan,China,Oodoo
90,Zaoshi,China,Skilith
91,Rzyki,Poland,Rhybox
92,Zhangjiafan,China,Jatri
93,Augusto Corrêa,Brazil,Jaxworks
94,Caleta Cruz,Peru,Mydo
95,Barrhead,Canada,Divanoodle
96,Changshan,China,Realblab
97,Rešetari,Croatia,Zoomdog
98,Fortuna,Costa Rica,Katz
99,Citeureup,Indonesia,Izio
100,Otan Aiyegbaju,Nigeria,Tagcat
101,Grazhdanskoye,Russia,Yamia
102,Chīchāwatni,Pakistan,Mydeo
103,Murça,Portugal,Browsecat
104,Tiepu,China,Jabberstorm
105,Ellinikó,Greece,Voonte
106,Pasaco,Guatemala,Thoughtsphere
107,Panshan,China,Oba
108,Kiten,Bulgaria,Innotype
109,San José de Cusmapa,Nicaragua,Skidoo
110,Krajan Alastengah,Indonesia,Zoombeat
111,Rio Formoso,Brazil,Linklinks
112,Littleton,United States,Zoombeat
113,Banjarmasin,Indonesia,Realblab
114,Hirvensalmi,Finland,Jaxworks
115,Dawei,Myanmar,Oozz
116,Taveiro,Portugal,Realcube
117,Saint-Maurice-l'Exil,France,Skipstorm
118,Novhorodka,Ukraine,Zava
119,Khromtau,Kazakhstan,Tagfeed
120,Vlycháda,Greece,Camimbo
121,Dzerzhinskiy,Russia,Tagpad
