ID,ALU_ID,MAS_ID
1,336,81
2,931,74
3,594,81
4,408,87
5,284,46
6,612,50
7,833,53
8,679,55
9,617,77
10,816,19
11,633,74
12,463,96
13,619,100
14,575,69
15,200,39
16,581,36
17,918,22
18,696,73
19,661,52
20,101,24
21,329,71
22,902,4
23,854,49
24,280,61
25,832,8
26,102,70
27,940,65
28,936,49
29,634,94
30,114,77
31,658,37
32,142,98
33,828,95
34,241,67
35,620,24
36,977,49
37,603,35
38,585,19
39,649,6
40,786,20
41,766,13
42,703,21
43,139,96
44,566,11
45,859,68
46,535,86
47,565,85
48,589,42
49,9,28
50,874,54
51,506,41
52,208,54
53,428,86
54,255,22
55,742,3
56,573,97
57,770,99
58,344,52
59,850,75
60,459,2
61,567,86
62,869,54
63,96,23
64,866,74
65,510,32
66,483,9
67,614,88
68,685,42
69,480,41
70,497,53
71,388,41
72,518,69
73,672,22
74,571,38
75,164,28
76,532,30
77,320,26
78,172,94
79,644,54
80,426,96
81,579,77
82,232,84
83,451,33
84,773,52
85,173,47
86,620,83
87,291,4
88,659,100
89,448,23
90,768,98
91,995,32
92,578,11
93,774,39
94,677,15
95,125,29
96,454,97
97,740,27
98,478,91
99,895,8
100,262,18
101,24,6
102,679,97
103,807,44
104,58,51
105,171,98
106,81,11
107,736,55
108,306,6
109,588,17
110,192,93
111,786,5
112,239,29
113,381,31
114,164,56
115,118,66
116,159,51
117,381,56
118,799,19
119,860,6
120,998,14
121,655,24
122,72,5
123,106,80
124,960,37
125,671,8
126,776,36
127,800,32
128,900,94
129,209,42
130,67,73
131,639,65
132,964,51
133,873,1
134,793,25
135,382,51
136,849,29
137,486,20
138,484,39
139,50,55
140,826,95
141,73,74
142,57,19
143,375,68
144,369,100
145,499,55
146,99,93
147,858,74
148,395,98
149,588,63
150,832,72
151,100,34
152,615,100
153,9,82
154,473,34
155,307,32
156,714,65
157,473,77
158,197,77
159,974,48
160,562,14
161,152,21
162,13,85
163,670,93
164,608,27
165,700,73
166,661,6
167,237,81
168,907,3
169,120,54
170,994,43
171,739,20
172,739,15
173,335,5
174,374,53
175,141,88
176,427,95
177,482,76
178,364,64
179,947,16
180,404,73
181,979,55
182,549,96
183,301,2
184,666,89
185,401,5
186,910,1
187,36,6
188,807,35
189,377,37
190,75,90
191,558,14
192,624,22
193,340,38
194,132,11
195,95,53
196,577,100
197,130,43
198,40,88
199,928,96
200,861,95
201,137,15
202,371,8
203,933,53
204,18,25
205,670,16
206,888,81
207,167,74
208,396,17
209,549,49
210,372,56
211,117,86
212,181,55
213,823,17
214,486,20
215,305,85
216,184,28
217,485,19
218,665,87
219,675,86
220,919,24
221,50,46
222,669,28
223,225,91
224,1,43
225,844,49
226,850,48
227,813,78
228,111,38
229,888,90
230,568,54
231,941,13
232,216,70
233,925,40
234,104,74
235,441,68
236,697,48
237,572,20
238,848,90
239,800,22
240,242,92
241,295,29
242,391,77
243,243,37
244,599,44
245,123,32
246,219,32
247,571,7
248,44,34
249,36,47
250,604,14
251,49,5
252,374,81
253,622,67
254,868,43
255,839,47
256,119,14
257,1000,68
258,199,81
259,627,40
260,826,67
261,413,95
262,350,8
263,135,14
264,118,50
265,612,6
266,81,97
267,561,77
268,674,97
269,637,72
270,191,65
271,801,58
272,659,51
273,689,78
274,43,66
275,37,86
276,872,91
277,133,21
278,134,6
279,823,14
280,574,13
281,76,71
282,630,63
283,832,6
284,851,97
285,718,59
286,522,98
287,444,38
288,893,53
