emp_no,title,from_date,to_date
10010,Engineer,1996-11-24,9999-01-01
10020,Engineer,1997-12-30,9999-01-01
10030,Engineer,1994-02-17,2001-02-17
10030,Senior Engineer,2001-02-17,9999-01-01
10040,Engineer,1993-02-14,1999-02-14
10040,Senior Engineer,1999-02-14,9999-01-01
10050,Senior Staff,1999-12-25,9999-01-01
10050,Staff,1990-12-25,1999-12-25
10060,Senior Staff,1996-05-28,9999-01-01
10060,Staff,1989-05-28,1996-05-28
10070,Technique Leader,1985-10-14,9999-01-01
10080,Senior Staff,2001-09-28,9999-01-01
10080,Staff,1994-09-28,2001-09-28
10090,Senior Engineer,1986-03-14,1999-05-07
10100,Senior Staff,1994-09-21,9999-01-01
10100,Staff,1987-09-21,1994-09-21
10110,Senior Staff,1992-08-21,9999-01-01
10110,Staff,1986-08-22,1992-08-21
10120,Engineer,1996-07-06,9999-01-01
10130,Senior Engineer,1988-06-21,9999-01-01
10140,Senior Staff,1998-03-14,9999-01-01
10140,Staff,1991-03-14,1998-03-14
10150,Engineer,1986-11-16,1995-11-16
10150,Senior Engineer,1995-11-16,9999-01-01
10160,Senior Staff,2000-12-06,9999-01-01
10160,Staff,1993-12-06,2000-12-06
10170,Engineer,1986-01-02,1989-02-06
10180,Senior Staff,2002-07-01,9999-01-01
10180,Staff,1994-07-01,2002-07-01
10190,Engineer,1986-06-23,1994-06-23
10190,Senior Engineer,1994-06-23,9999-01-01
10200,Engineer,1994-02-17,2000-02-17
10200,Senior Engineer,2000-02-17,9999-01-01
10210,Senior Staff,2002-02-23,9999-01-01
10210,Staff,1996-02-24,2002-02-23
10220,Staff,1997-09-16,9999-01-01
10230,Senior Staff,2002-06-16,9999-01-01
10230,Staff,1996-06-16,2002-06-16
10240,Engineer,1998-10-06,9999-01-01
10250,Engineer,1992-08-30,2001-08-30
10250,Senior Engineer,2001-08-30,9999-01-01
10260,Engineer,1993-02-01,2002-02-01
10260,Senior Engineer,2002-02-01,9999-01-01
10270,Senior Staff,1999-09-26,9999-01-01
10270,Staff,1991-09-26,1999-09-26
10280,Staff,1995-01-27,9999-01-01
10290,Engineer,1991-09-18,1997-09-17
10290,Senior Engineer,1997-09-17,9999-01-01
10300,Engineer,1991-05-17,1996-05-16
10300,Senior Engineer,1996-05-16,9999-01-01
10310,Senior Engineer,1990-10-24,2001-07-26
10320,Senior Staff,1996-11-03,2001-12-23
10320,Staff,1988-11-03,1996-11-03
10330,Staff,1993-10-08,9999-01-01
10340,Senior Staff,1993-03-30,9999-01-01
10340,Staff,1988-03-30,1993-03-30
10350,Assistant Engineer,1991-05-11,1997-05-10
10350,Engineer,1997-05-10,1998-01-16
10360,Staff,1996-09-04,9999-01-01
10370,Senior Staff,1998-04-18,9999-01-01
10370,Staff,1992-04-18,1998-04-18
10380,Senior Staff,1994-03-19,9999-01-01
10380,Staff,1985-03-19,1994-03-19
10390,Technique Leader,1989-05-17,9999-01-01
10400,Senior Staff,1993-10-17,9999-01-01
10410,Staff,1993-10-16,1996-07-21
10420,Senior Staff,1997-01-16,2000-07-09
10420,Staff,1988-01-17,1997-01-16
10430,Senior Engineer,1998-07-05,9999-01-01
10440,Technique Leader,1997-04-04,9999-01-01
10450,Engineer,1997-08-24,9999-01-01
10460,Engineer,1999-06-30,2001-04-15
10470,Engineer,1989-09-19,1994-09-19
10470,Senior Engineer,1994-09-19,9999-01-01
10480,Staff,1988-05-18,1989-06-03
10490,Senior Staff,1997-11-22,9999-01-01
