Gender,weightkg,stature,bodyheight
Male,81.5,17.76,699.2112
Male,72.6,17.02,670.0773999999999
Male,92.9,17.35,683.0695000000001
Male,79.4,16.55,651.5735
Male,94.6,19.14,753.5418
Male,80.2,17.2,677.1639999999999
Male,116.2,18.1,712.597
Male,95.4,18.5,728.3449999999999
Male,99.5,17.77,699.6048999999999
Male,70.2,18.11,712.9907
Male,88.2,17.8,700.786
Male,70.1,17.33,682.2820999999999
Male,103.7,18.14,714.1718
Male,111.6,18.61,732.6756999999999
Male,89.6,17.09,672.8332999999999
Male,92.4,17.4,685.0379999999999
Male,77.9,16.94,666.9278
Male,96.9,17.66,695.2742
Male,76.0,17.48,688.1876
Male,90.8,17.94,706.2978
Male,71.4,17.8,700.786
Male,74.6,16.8,661.4159999999999
Male,79.2,16.53,650.7861
Male,91.5,19.59,771.2583
Male,96.5,17.55,690.9435
Male,67.5,16.3,641.731
Male,107.3,18.25,718.5024999999999
Male,79.3,17.95,706.6914999999999
Male,78.2,17.45,687.0065
Male,88.2,18.18,715.7466
Male,71.5,18.81,740.5496999999999
Male,94.7,17.6,692.912
Male,66.5,16.75,659.4475
Male,87.9,18.52,729.1324
Male,67.5,17.85,702.7545
Male,88.4,17.91,705.1166999999999
Male,69.5,16.85,663.3845
Male,121.8,18.5,728.3449999999999
Male,71.9,17.37,683.8569
Male,88.1,17.43,686.2190999999999
Male,57.5,17.44,686.6128
Male,87.6,16.79,661.0223
Male,85.0,18.36,722.8331999999999
Male,86.5,17.3,681.101
Male,95.8,17.62,693.6994
Male,66.7,16.69,657.0853
Male,70.6,17.4,685.0379999999999
Male,84.7,17.09,672.8332999999999
Male,101.3,18.79,739.7622999999999
Male,85.6,16.74,659.0537999999999
Male,109.5,17.79,700.3923
Male,83.4,18.44,725.9828
Male,72.7,16.37,644.4869
Male,98.6,17.54,690.5497999999999
Male,77.3,17.04,670.8648
Male,140.0,18.4,724.4079999999999
Male,67.4,17.83,701.9670999999998
Male,88.4,17.48,688.1876
Male,98.8,17.03,670.4711
Male,95.2,18.52,729.1324
Male,56.6,16.09,633.4633
Male,71.7,17.09,672.8332999999999
Male,71.7,18.35,722.4395
Male,80.2,16.79,661.0223
Male,98.8,17.42,685.8254000000001
Male,66.2,16.98,668.5026
Male,80.7,16.71,657.8727
Male,105.3,18.5,728.3449999999999
Male,68.3,17.54,690.5497999999999
Male,74.9,16.19,637.4003
Male,73.8,17.72,697.6363999999999
Male,60.4,17.05,671.2585
Male,77.4,16.19,637.4003
Male,76.8,17.26,679.5262
Male,102.2,18.4,724.4079999999999
Male,96.3,17.43,686.2190999999999
Male,92.3,16.74,659.0537999999999
Male,98.8,17.5,688.9749999999999
Male,88.7,18.19,716.1403
Male,98.7,17.99,708.2662999999999
Male,85.2,17.5,688.9749999999999
Male,74.8,17.23,678.3451
Male,92.0,18.09,712.2032999999999
Male,74.4,17.91,705.1166999999999
Male,82.3,17.23,678.3451
Male,62.7,15.78,621.2585999999999
Male,77.8,17.18,676.3765999999999
Male,88.2,17.99,708.2662999999999
Male,59.0,17.4,685.0379999999999
Male,73.0,17.02,670.0773999999999
Male,86.4,17.37,683.8569
Male,86.6,17.3,681.101
Male,73.7,17.85,702.7545
Male,65.4,18.17,715.3529
Male,69.6,18.43,725.5890999999999
Male,77.5,17.91,705.1166999999999
Male,72.7,16.57,652.3609
Male,79.7,17.01,669.6837
Male,74.4,17.86,703.1482
Male,96.8,17.55,690.9435
Male,86.6,17.91,705.1166999999999
Male,74.2,17.59,692.5183
Male,92.0,17.9,704.7229999999998
Male,81.4,17.82,701.5734
Male,64.6,18.39,724.0142999999999
Male,95.4,18.8,740.156
Male,85.3,17.38,684.2506
Male,90.0,17.34,682.6758
Male,83.5,18.19,716.1403
Male,85.1,16.83,662.5970999999998
Male,89.7,18.15,714.5654999999999
Male,87.2,18.15,714.5654999999999
Male,82.2,16.73,658.6600999999999
Male,111.2,18.31,720.8646999999999
Male,98.7,17.95,706.6914999999999
Male,110.5,18.45,726.3765
Male,78.2,16.87,664.1719
Male,86.9,17.56,691.3371999999999
Male,141.3,18.46,726.7701999999999
Male,78.9,16.57,652.3609
Male,69.0,16.32,642.5183999999999
Male,79.2,17.35,683.0695000000001
Male,69.9,17.26,679.5262
Male,121.2,18.77,738.9748999999999
Male,87.8,18.87,742.9119
Male,70.6,17.65,694.8804999999999
Male,82.2,17.93,705.9041
Male,99.2,18.49,727.9513
Male,76.0,18.11,712.9907
Male,98.8,17.39,684.6442999999999
Male,75.9,16.68,656.6916
Male,89.8,17.88,703.9355999999999
Male,78.2,17.46,687.4002
Male,83.1,17.5,688.9749999999999
Male,99.6,18.1,712.597
Male,74.2,17.1,673.227
Male,96.8,18.47,727.1638999999999
Male,91.6,18.11,712.9907
Male,108.0,17.8,700.786
Male,78.8,17.4,685.0379999999999
Male,94.9,17.97,707.4789
Male,90.6,17.55,690.9435
Male,106.9,18.42,725.1954000000001
Male,87.4,16.56,651.9671999999999
Male,87.9,17.76,699.2112
Male,115.4,18.59,731.8883
Male,79.0,16.85,663.3845
Male,88.7,17.75,698.8175
Male,86.6,18.25,718.5024999999999
Male,80.6,19.31,760.2346999999999
Male,96.6,17.89,704.3293
Male,109.9,18.19,716.1403
Male,77.1,17.82,701.5734
Male,95.1,17.21,677.5577
Male,111.8,19.1,751.967
Male,89.5,18.04,710.2348
Male,106.0,17.82,701.5734
Male,95.1,17.77,699.6048999999999
Male,72.1,16.65,655.5104999999999
Male,87.2,18.03,709.8411
Male,97.8,18.79,739.7622999999999
Male,97.4,17.33,682.2820999999999
Male,95.8,18.35,722.4395
Male,112.3,17.92,705.5104
Male,90.0,17.21,677.5577
Male,94.8,17.11,673.6206999999999
Male,95.0,18.09,712.2032999999999
Male,73.9,16.64,655.1168
